title,url,pdf_url,doi,arxiv_id,authors,venue,publication_date,impact,confidence
"Retrieval-augmented generation in medicine: A scoping review of technical implementations, clinical applications, and ethical considerations","https://pubmed.ncbi.nlm.nih.gov/42476143/","https://arxiv.org/pdf/2511.05901.pdf","10.1016/j.xcrm.2026.102927","2511.05901","Rui Yang et al.","Cell Reports Medicine","2026-07-20","最新医学 RAG 范围综述指出临床验证、跨语言适配、低资源环境、安全和偏差评估仍明显不足。","High"
"LLM-Generated Text May Harm Your Retrieval! A Robust Detection Strategy for Retrieval-Augmented Generation","https://aclanthology.org/2026.acl-long.1475/","https://aclanthology.org/2026.acl-long.1475.pdf","10.18653/v1/2026.acl-long.1475","","Zhaoheng Huang; Yutao Zhu; Ji-Rong Wen; Zhicheng Dou","ACL 2026","2026-07","说明外部语料被模型生成内容污染会持续降低检索可靠性，来源治理需要增加内容来源和污染检测。","High"
"Evaluating and Guarding Citation Faithfulness in Agentic Scientific Synthesis","https://arxiv.org/abs/2607.20527","https://arxiv.org/pdf/2607.20527.pdf","10.48550/arXiv.2607.20527","2607.20527","Taewan Goo et al.","arXiv","2026-07-10","同一输出的不支持引用率会因验证器严格度从约 3% 变化到约 18%，提出金标准校准和 conformal guard。","Medium"
"Efficiency vs. Verifiability in Evidence-Aware RAG: Does Prompt Compression Preserve Citation Grounding?","https://aclanthology.org/2026.customnlp4u-1.19/","https://aclanthology.org/2026.customnlp4u-1.19.pdf","10.18653/v1/2026.customnlp4u-1.19","","Aiyu Li; Qian Peng; Bin Chen","ACL CustomNLP4U 2026","2026-07-03","表明压缩上下文可能保持答案质量却显著破坏引用 grounding，成本优化必须加入引用保持指标。","High"
"Medical multi-recall embedding: Adaptive retrieval for diverse evidence in medical RAG systems","https://www.sciencedirect.com/science/article/pii/S0306457326000865","","10.1016/j.ipm.2026.104695","","Changjin Li et al.","Information Processing & Management","2026-07","一对多医学检索在五个专科平均提升 Recall@10 超过 10 个百分点，并使下游 QA 至少提升 4 个百分点。","High"
"BRIDGE: benchmarking large language models for understanding real-world clinical practice texts","https://www.nature.com/articles/s41551-026-01719-2","https://arxiv.org/pdf/2504.19467.pdf","10.1038/s41551-026-01719-2","2504.19467","Jiageng Wu et al.","Nature Biomedical Engineering","2026-06-17","以 59 个真实临床数据源、9 种语言、87 项任务评估 95 个模型，显示模型、语言、专科和任务间差异巨大。","High"
"When silence is safer: a review and decision-theoretic framework for LLM abstention in healthcare","https://www.nature.com/articles/s41746-026-02882-1","https://www.nature.com/articles/s41746-026-02882-1_reference.pdf","10.1038/s41746-026-02882-1","","Oriana Presacan et al.","npj Digital Medicine","2026-06-16","提出 MedSAFE 和基于潜在伤害的决策论拒答框架，强调回答、澄清、转诊和拒答不应合并成一个置信度。","High"
"General-purpose large language models outperform specialized clinical AI tools on medical benchmarks","https://www.nature.com/articles/s41591-026-04431-5","https://www.nature.com/articles/s41591-026-04431-5.pdf","10.1038/s41591-026-04431-5","","Krithik Vishwanath et al.","Nature Medicine","2026-06-12","独立盲评显示专用临床工具并不天然优于前沿通用模型，证明真实临床问题和独立评估比产品标签更重要。","High"
"MR-RAG: Multimodal Relevance-Aware Retrieval-Augmented Generation for Medical Visual Question Answering","https://openaccess.thecvf.com/content/CVPR2026/html/Li_MR-RAG_Multimodal_Relevance-Aware_Retrieval-Augmented_Generation_for_Medical_Visual_Question_Answering_CVPR_2026_paper.html","https://openaccess.thecvf.com/content/CVPR2026/papers/Li_MR-RAG_Multimodal_Relevance-Aware_Retrieval-Augmented_Generation_for_Medical_Visual_Question_Answering_CVPR_2026_paper.pdf","","","Xuze Li et al.","CVPR 2026","2026-06","在检索与生成两阶段同时建模跨模态相关性，在三个医学视觉 QA 数据集上最高提升 6.4%。","High"
"AgenticRAG: Agentic Retrieval for Enterprise Knowledge Bases","https://arxiv.org/abs/2605.05538","https://arxiv.org/pdf/2605.05538.pdf","10.48550/arXiv.2605.05538","2605.05538","Susheel Suresh et al.","arXiv","2026-05-07","将 search/find/open/summarize 变成受控迭代工具，报告 BRIGHT Recall@1 比最佳 embedding 基线高 21.8 个百分点。","Medium"
