"title","url","pdf_url","doi","arxiv_id","saved_path","download_url","status","message"
"Retrieval-augmented generation in medicine: A scoping review of technical implementations, clinical applications, and ethical considerations","https://pubmed.ncbi.nlm.nih.gov/42476143/","https://arxiv.org/pdf/2511.05901.pdf","10.1016/j.xcrm.2026.102927","2511.05901","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\001-retrieval-augmented-generation-in-medicine-a-scoping-review-of-technical-impleme.pdf","https://arxiv.org/pdf/2511.05901.pdf","success","ok"
"LLM-Generated Text May Harm Your Retrieval! A Robust Detection Strategy for Retrieval-Augmented Generation","https://aclanthology.org/2026.acl-long.1475/","https://aclanthology.org/2026.acl-long.1475.pdf","10.18653/v1/2026.acl-long.1475","","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\002-llm-generated-text-may-harm-your-retrieval-a-robust-detection-strategy-for-retri.pdf","https://aclanthology.org/2026.acl-long.1475.pdf","success","ok"
"Evaluating and Guarding Citation Faithfulness in Agentic Scientific Synthesis","https://arxiv.org/abs/2607.20527","https://arxiv.org/pdf/2607.20527.pdf","10.48550/arXiv.2607.20527","2607.20527","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\003-evaluating-and-guarding-citation-faithfulness-in-agentic-scientific-synthesis.pdf","https://arxiv.org/pdf/2607.20527.pdf","success","ok"
"Efficiency vs. Verifiability in Evidence-Aware RAG: Does Prompt Compression Preserve Citation Grounding?","https://aclanthology.org/2026.customnlp4u-1.19/","https://aclanthology.org/2026.customnlp4u-1.19.pdf","10.18653/v1/2026.customnlp4u-1.19","","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\004-efficiency-vs-verifiability-in-evidence-aware-rag-does-prompt-compression-preser.pdf","https://aclanthology.org/2026.customnlp4u-1.19.pdf","success","ok"
"Medical multi-recall embedding: Adaptive retrieval for diverse evidence in medical RAG systems","https://www.sciencedirect.com/science/article/pii/S0306457326000865","","10.1016/j.ipm.2026.104695","","","","failed","no public PDF URL recorded"
"BRIDGE: benchmarking large language models for understanding real-world clinical practice texts","https://www.nature.com/articles/s41551-026-01719-2","https://arxiv.org/pdf/2504.19467.pdf","10.1038/s41551-026-01719-2","2504.19467","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\006-bridge-benchmarking-large-language-models-for-understanding-real-world-clinical-.pdf","https://arxiv.org/pdf/2504.19467.pdf","success","ok"
"When silence is safer: a review and decision-theoretic framework for LLM abstention in healthcare","https://www.nature.com/articles/s41746-026-02882-1","https://www.nature.com/articles/s41746-026-02882-1_reference.pdf","10.1038/s41746-026-02882-1","","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\007-when-silence-is-safer-a-review-and-decision-theoretic-framework-for-llm-abstenti.pdf","https://www.nature.com/articles/s41746-026-02882-1_reference.pdf","success","ok"
"General-purpose large language models outperform specialized clinical AI tools on medical benchmarks","https://www.nature.com/articles/s41591-026-04431-5","https://www.nature.com/articles/s41591-026-04431-5.pdf","10.1038/s41591-026-04431-5","","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\008-general-purpose-large-language-models-outperform-specialized-clinical-ai-tools-o.pdf","https://www.nature.com/articles/s41591-026-04431-5.pdf","success","ok"
"MR-RAG: Multimodal Relevance-Aware Retrieval-Augmented Generation for Medical Visual Question Answering","https://openaccess.thecvf.com/content/CVPR2026/html/Li_MR-RAG_Multimodal_Relevance-Aware_Retrieval-Augmented_Generation_for_Medical_Visual_Question_Answering_CVPR_2026_paper.html","https://openaccess.thecvf.com/content/CVPR2026/papers/Li_MR-RAG_Multimodal_Relevance-Aware_Retrieval-Augmented_Generation_for_Medical_Visual_Question_Answering_CVPR_2026_paper.pdf","","","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\009-mr-rag-multimodal-relevance-aware-retrieval-augmented-generation-for-medical-vis.pdf","https://openaccess.thecvf.com/content/CVPR2026/papers/Li_MR-RAG_Multimodal_Relevance-Aware_Retrieval-Augmented_Generation_for_Medical_Visual_Question_Answering_CVPR_2026_paper.pdf","success","ok"
"AgenticRAG: Agentic Retrieval for Enterprise Knowledge Bases","https://arxiv.org/abs/2605.05538","https://arxiv.org/pdf/2605.05538.pdf","10.48550/arXiv.2605.05538","2605.05538","D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\retry\010-agenticrag-agentic-retrieval-for-enterprise-knowledge-bases.pdf","https://arxiv.org/pdf/2605.05538.pdf","success","ok"
