title,url,pdf_url,doi,arxiv_id,saved_path,download_url,status,message
Synthesizing scientific literature with retrieval-augmented language models,https://www.nature.com/articles/s41586-025-10072-4,https://www.nature.com/articles/s41586-025-10072-4.pdf,10.1038/s41586-025-10072-4,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\001-synthesizing-scientific-literature-with-retrieval-augmented-language-models.pdf,https://www.nature.com/articles/s41586-025-10072-4.pdf,success,ok
Evaluating and Guarding Citation Faithfulness in Agentic Scientific Synthesis,https://arxiv.org/abs/2607.20527,https://arxiv.org/pdf/2607.20527.pdf,10.48550/arXiv.2607.20527,2607.20527,,https://arxiv.org/pdf/2607.20527.pdf,failed,URL error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)
"Rethinking Retrieval-Augmented Generation for Medicine: A Large-Scale, Systematic Expert Evaluation and Practical Insights",https://arxiv.org/abs/2511.06738,https://arxiv.org/pdf/2511.06738.pdf,10.48550/arXiv.2511.06738,2511.06738,,https://arxiv.org/pdf/2511.06738.pdf,failed,URL error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)
HydraRAG: Structured Cross-Source Enhanced Large Language Model Reasoning,https://aclanthology.org/2025.emnlp-main.730/,https://aclanthology.org/2025.emnlp-main.730.pdf,10.18653/v1/2025.emnlp-main.730,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\004-hydrarag-structured-cross-source-enhanced-large-language-model-reasoning.pdf,https://aclanthology.org/2025.emnlp-main.730.pdf,success,ok
Medical Graph RAG: Evidence-based Medical Large Language Model via Graph Retrieval-Augmented Generation,https://aclanthology.org/2025.acl-long.1381/,https://aclanthology.org/2025.acl-long.1381.pdf,10.18653/v1/2025.acl-long.1381,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\005-medical-graph-rag-evidence-based-medical-large-language-model-via-graph-retrieva.pdf,https://aclanthology.org/2025.acl-long.1381.pdf,success,ok
Rationale-Guided Retrieval Augmented Generation for Medical Question Answering,https://aclanthology.org/2025.naacl-long.635/,https://aclanthology.org/2025.naacl-long.635.pdf,10.18653/v1/2025.naacl-long.635,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\006-rationale-guided-retrieval-augmented-generation-for-medical-question-answering.pdf,https://aclanthology.org/2025.naacl-long.635.pdf,success,ok
Uncertainty-aware large language models for explainable disease diagnosis,https://www.nature.com/articles/s41746-025-02071-6,https://www.nature.com/articles/s41746-025-02071-6.pdf,10.1038/s41746-025-02071-6,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\007-uncertainty-aware-large-language-models-for-explainable-disease-diagnosis.pdf,https://www.nature.com/articles/s41746-025-02071-6.pdf,success,ok
Large Language Models lack essential metacognition for reliable medical reasoning,https://www.nature.com/articles/s41467-024-55628-6,https://www.nature.com/articles/s41467-024-55628-6.pdf,10.1038/s41467-024-55628-6,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\008-large-language-models-lack-essential-metacognition-for-reliable-medical-reasonin.pdf,https://www.nature.com/articles/s41467-024-55628-6.pdf,success,ok
Large language model agents can use tools to perform clinical calculations,https://www.nature.com/articles/s41746-025-01475-8,https://www.nature.com/articles/s41746-025-01475-8.pdf,10.1038/s41746-025-01475-8,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\009-large-language-model-agents-can-use-tools-to-perform-clinical-calculations.pdf,https://www.nature.com/articles/s41746-025-01475-8.pdf,success,ok
Evaluating base and retrieval augmented LLMs with document or online support for evidence based neurology,https://www.nature.com/articles/s41746-025-01536-y,https://www.nature.com/articles/s41746-025-01536-y.pdf,10.1038/s41746-025-01536-y,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\010-evaluating-base-and-retrieval-augmented-llms-with-document-or-online-support-for.pdf,https://www.nature.com/articles/s41746-025-01536-y.pdf,success,ok
Scaling LLM Test-Time Compute Optimally Can be More Effective than Scaling Parameters for Reasoning,https://proceedings.iclr.cc/paper_files/paper/2025/hash/1b623663fd9b874366f3ce019fdfdd44-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/1b623663fd9b874366f3ce019fdfdd44-Paper-Conference.pdf,,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\011-scaling-llm-test-time-compute-optimally-can-be-more-effective-than-scaling-param.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/1b623663fd9b874366f3ce019fdfdd44-Paper-Conference.pdf,success,ok
Language agents achieve superhuman synthesis of scientific knowledge,https://arxiv.org/abs/2409.13740,https://arxiv.org/pdf/2409.13740.pdf,10.48550/arXiv.2409.13740,2409.13740,,https://arxiv.org/pdf/2409.13740.pdf,failed,URL error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)
RAGChecker: A Fine-grained Framework for Diagnosing Retrieval-Augmented Generation,https://proceedings.neurips.cc/paper_files/paper/2024/hash/27245589131d17368cccdfa990cbf16e-Abstract-Datasets_and_Benchmarks_Track.html,https://proceedings.nips.cc/paper_files/paper/2024/file/27245589131d17368cccdfa990cbf16e-Paper-Datasets_and_Benchmarks_Track.pdf,10.52202/079017-0692,2408.08067,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\013-ragchecker-a-fine-grained-framework-for-diagnosing-retrieval-augmented-generatio.pdf,https://proceedings.nips.cc/paper_files/paper/2024/file/27245589131d17368cccdfa990cbf16e-Paper-Datasets_and_Benchmarks_Track.pdf,success,ok
ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems,https://aclanthology.org/2024.naacl-long.20/,https://aclanthology.org/2024.naacl-long.20.pdf,10.18653/v1/2024.naacl-long.20,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\014-ares-an-automated-evaluation-framework-for-retrieval-augmented-generation-system.pdf,https://aclanthology.org/2024.naacl-long.20.pdf,success,ok
Model Internals-based Answer Attribution for Trustworthy Retrieval-Augmented Generation,https://aclanthology.org/2024.emnlp-main.347/,https://aclanthology.org/2024.emnlp-main.347.pdf,10.18653/v1/2024.emnlp-main.347,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\015-model-internals-based-answer-attribution-for-trustworthy-retrieval-augmented-gen.pdf,https://aclanthology.org/2024.emnlp-main.347.pdf,success,ok
Chain-of-Verification Reduces Hallucination in Large Language Models,https://aclanthology.org/2024.findings-acl.212/,https://aclanthology.org/2024.findings-acl.212.pdf,10.18653/v1/2024.findings-acl.212,,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\downloads\papers\016-chain-of-verification-reduces-hallucination-in-large-language-models.pdf,https://aclanthology.org/2024.findings-acl.212.pdf,success,ok
"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",https://openreview.net/forum?id=hSyW5go0v8,https://openreview.net/pdf?id=hSyW5go0v8,,,,https://openreview.net/pdf?id=hSyW5go0v8,failed,HTTP 403
Corrective Retrieval Augmented Generation,https://arxiv.org/abs/2401.15884,https://arxiv.org/pdf/2401.15884.pdf,10.48550/arXiv.2401.15884,2401.15884,,https://arxiv.org/pdf/2401.15884.pdf,failed,URL error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)
