organization,event_date,publish_date,update,impact,url,corroborating_url,confidence
"NIST","2026-05-01","2026-05-01","Building Evaluation Probes into Agentic AI","Official deep-research testbed evaluates every source chunk and citation against strict rubrics and stores a structured audit trail; directly applicable to evidence-chain agents.","https://www.nist.gov/programs-projects/building-evaluation-probes-agentic-ai","https://pages.nist.gov/trec-browser/trec34/rag/proceedings/","High"
"HL7 International","2025-03-28","2025-03-28","Evidence Based Medicine on FHIR Implementation Guide ballot 2","Defines machine-interpretable Evidence, Citation and ArtifactAssessment profiles, including certainty of evidence, risk of bias and recommendation justification.","https://www.hl7.org/fhir/uv/ebm/2025May/","https://hl7.org/fhir/R5/evidence.html","High"
"NIST TREC","2025","2026","TREC 2025 Retrieval-Augmented Generation Track proceedings","Uses long narrative queries and evaluates relevance, completeness, attribution verification and agreement; participating systems expose sentence-support metrics and hierarchical citations.","https://pages.nist.gov/trec-browser/trec34/rag/proceedings/","https://trec.nist.gov/pubs/trec34/papers/Overview_rag.pdf","High"
"FDA","2025-01-06","2025-01-06","Draft lifecycle guidance for AI-enabled medical devices","Emphasizes transparency, bias controls, documentation and performance monitoring across the total product lifecycle; useful as a governance baseline if the prototype approaches clinical use.","https://www.fda.gov/news-events/press-announcements/fda-issues-comprehensive-draft-guidance-developers-artificial-intelligence-enabled-medical-devices","https://www.fda.gov/medical-devices/software-medical-device-samd/transparency-machine-learning-enabled-medical-devices-guiding-principles","High"
"WHO","2024-01-18","2024-01-18","Ethics and governance guidance for large multi-modal models in health","Calls for well-defined tasks, transparent design, stakeholder participation, independent post-release auditing and published impact assessments.","https://www.who.int/news/item/18-01-2024-who-releases-ai-ethics-and-governance-guidance-for-large-multi-modal-models","https://www.who.int/publications/b/70584","High"
"NIST","2024-07-26","2024-07-26","Generative AI Profile NIST AI 600-1","Treats confabulated facts, logic and citations as consequential risks and provides lifecycle risk-management actions.","https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence","https://doi.org/10.6028/NIST.AI.600-1","High"
"FDA, Health Canada and MHRA","2024-06","2024-06","Transparency principles for machine-learning-enabled medical devices","Frames transparency around audience, purpose, content, placement, timing and medium, with emphasis on human-AI team performance and known information gaps.","https://www.fda.gov/medical-devices/software-medical-device-samd/transparency-machine-learning-enabled-medical-devices-guiding-principles","https://www.fda.gov/media/179269/download","High"
"GRADE Working Group","2026","2026","Living GRADE Book and decision-threshold guidance","Operationalizes certainty assessment across risk of bias, inconsistency, indirectness, imprecision and dissemination bias, linked to decision thresholds.","https://book.gradepro.org/guideline/overview-of-the-grade-approach","https://book.gradepro.org/guideline/decision-thresholds","High"
"PRISMA","2020","2020","PRISMA 2020 statement and flow diagrams","Provides a transparent search-screen-include-exclude flow model that can be adapted to show how an agent assembled an evidence set.","https://www.prisma-statement.org/prisma-2020","https://www.prisma-statement.org/prisma-2020-flow-diagram","High"
"W3C","2013-04-30","2013-04-30","PROV-O Recommendation","Defines interoperable Entity, Activity and Agent provenance chains with derivation, usage, generation and attribution relations.","https://www.w3.org/TR/prov-o/","https://www.w3.org/TR/prov-overview/","High"
