title,url,pdf_url,doi,arxiv_id,saved_path,download_url,status,message
RAGuard: A Layered Defense Framework for Retrieval-Augmented Generation Systems Against Data Poisoning,https://arxiv.org/abs/2607.26339,https://arxiv.org/pdf/2607.26339.pdf,10.48550/arXiv.2607.26339,2607.26339,research\project-audit-2026-08-02\downloads\papers\001-raguard-a-layered-defense-framework-for-retrieval-augmented-generation-systems-a.pdf,https://arxiv.org/pdf/2607.26339.pdf,success,ok
PatientAgentBench: A Benchmark Framework for Evaluating Patient-Facing Health AI Agents,https://arxiv.org/abs/2607.25485,https://arxiv.org/pdf/2607.25485.pdf,10.48550/arXiv.2607.25485,2607.25485,research\project-audit-2026-08-02\downloads\papers\002-patientagentbench-a-benchmark-framework-for-evaluating-patient-facing-health-ai-.pdf,https://arxiv.org/pdf/2607.25485.pdf,success,ok
"Agentic AI in medicine: architectures, applications, evaluation, and challenges for clinical translation",https://arxiv.org/abs/2607.25489,https://arxiv.org/pdf/2607.25489.pdf,10.48550/arXiv.2607.25489,2607.25489,research\project-audit-2026-08-02\downloads\papers\003-agentic-ai-in-medicine-architectures-applications-evaluation-and-challenges-for-.pdf,https://arxiv.org/pdf/2607.25489.pdf,success,ok
Meaningful oversight of medical AI beyond human in the loop,https://www.nature.com/articles/s41746-026-02971-1,https://www.nature.com/articles/s41746-026-02971-1.pdf,10.1038/s41746-026-02971-1,,research\project-audit-2026-08-02\downloads\papers\004-meaningful-oversight-of-medical-ai-beyond-human-in-the-loop.pdf,https://www.nature.com/articles/s41746-026-02971-1.pdf,success,ok
"Retrieval-augmented generation in medicine: A scoping review of technical implementations, clinical applications, and ethical considerations",https://pubmed.ncbi.nlm.nih.gov/42476143/,https://arxiv.org/pdf/2511.05901.pdf,10.1016/j.xcrm.2026.102927,2511.05901,research\project-audit-2026-08-02\downloads\papers\005-retrieval-augmented-generation-in-medicine-a-scoping-review-of-technical-impleme.pdf,https://arxiv.org/pdf/2511.05901.pdf,success,ok
Addressing benchmarking gaps in large language models for health and medicine with dynamic red-teaming,https://www.nature.com/articles/s44360-026-00152-8,https://www.nature.com/articles/s44360-026-00152-8.pdf,10.1038/s44360-026-00152-8,,research\project-audit-2026-08-02\downloads\papers\006-addressing-benchmarking-gaps-in-large-language-models-for-health-and-medicine-wi.pdf,https://www.nature.com/articles/s44360-026-00152-8.pdf,success,ok
DS@GT ARC at LongEval: Citation Integrity and Factual Grounding in Scientific QA,https://arxiv.org/abs/2607.14400,https://arxiv.org/pdf/2607.14400.pdf,10.48550/arXiv.2607.14400,2607.14400,research\project-audit-2026-08-02\downloads\papers\007-ds-gt-arc-at-longeval-citation-integrity-and-factual-grounding-in-scientific-qa.pdf,https://arxiv.org/pdf/2607.14400.pdf,success,ok
Evaluating and Guarding Citation Faithfulness in Agentic Scientific Synthesis,https://arxiv.org/abs/2607.20527,https://arxiv.org/pdf/2607.20527.pdf,10.48550/arXiv.2607.20527,2607.20527,research\project-audit-2026-08-02\downloads\papers\008-evaluating-and-guarding-citation-faithfulness-in-agentic-scientific-synthesis.pdf,https://arxiv.org/pdf/2607.20527.pdf,success,ok
Uncertainty-Aware Abstention in Large Language Models with Provable Alignment Guarantees,https://arxiv.org/abs/2607.04430,https://arxiv.org/pdf/2607.04430.pdf,10.48550/arXiv.2607.04430,2607.04430,research\project-audit-2026-08-02\downloads\papers\009-uncertainty-aware-abstention-in-large-language-models-with-provable-alignment-gu.pdf,https://arxiv.org/pdf/2607.04430.pdf,success,ok
Efficiency vs. Verifiability in Evidence-Aware RAG: Does Prompt Compression Preserve Citation Grounding?,https://aclanthology.org/2026.customnlp4u-1.19/,https://aclanthology.org/2026.customnlp4u-1.19.pdf,10.18653/v1/2026.customnlp4u-1.19,,research\project-audit-2026-08-02\downloads\papers\010-efficiency-vs-verifiability-in-evidence-aware-rag-does-prompt-compression-preser.pdf,https://aclanthology.org/2026.customnlp4u-1.19.pdf,success,ok
