title,url,pdf_url,doi,arxiv_id,authors,venue,publication_date,impact,confidence
"Synthesizing scientific literature with retrieval-augmented language models","https://www.nature.com/articles/s41586-025-10072-4","https://www.nature.com/articles/s41586-025-10072-4.pdf","10.1038/s41586-025-10072-4","","Asai et al.","Nature","2026-02-04","OpenScholar combines a 45-million-paper store, bi-encoder retrieval, cross-encoder reranking, iterative self-feedback and citation verification; it is the strongest peer-reviewed blueprint found for long-form scientific synthesis.","High"
"Evaluating and Guarding Citation Faithfulness in Agentic Scientific Synthesis","https://arxiv.org/abs/2607.20527","https://arxiv.org/pdf/2607.20527.pdf","10.48550/arXiv.2607.20527","2607.20527","Goo et al.","arXiv preprint","2026-07-10","Shows citation-verifier conclusions vary materially with verifier strictness; proposes gold-anchored calibration and split-conformal bounds for unsupported citations.","Medium"
"Rethinking Retrieval-Augmented Generation for Medicine: A Large-Scale, Systematic Expert Evaluation and Practical Insights","https://arxiv.org/abs/2511.06738","https://arxiv.org/pdf/2511.06738.pdf","10.48550/arXiv.2511.06738","2511.06738","Kim et al.","arXiv preprint","2025-11-10","18 medical experts and 80,502 annotations show naive RAG can degrade medical answers; evidence filtering and query reformulation are high-value interventions.","Medium"
"HydraRAG: Structured Cross-Source Enhanced Large Language Model Reasoning","https://aclanthology.org/2025.emnlp-main.730/","https://aclanthology.org/2025.emnlp-main.730.pdf","10.18653/v1/2025.emnlp-main.730","","Tan et al.","EMNLP","2025-11","Combines graph topology, document semantics and source reliability with cross-source corroboration and entity-path alignment for multi-hop verification.","High"
"Medical Graph RAG: Evidence-based Medical Large Language Model via Graph Retrieval-Augmented Generation","https://aclanthology.org/2025.acl-long.1381/","https://aclanthology.org/2025.acl-long.1381.pdf","10.18653/v1/2025.acl-long.1381","","Wu et al.","ACL","2025-07","Medical GraphRAG architecture links private user documents to credible medical sources and balances top-down precise retrieval with bottom-up refinement.","High"
"Rationale-Guided Retrieval Augmented Generation for Medical Question Answering","https://aclanthology.org/2025.naacl-long.635/","https://aclanthology.org/2025.naacl-long.635.pdf","10.18653/v1/2025.naacl-long.635","","Sohn et al.","NAACL","2025-04","RAG-squared uses rationale-guided query reformulation, distractor filtering and balanced retrieval across four biomedical corpora.","High"
"Uncertainty-aware large language models for explainable disease diagnosis","https://www.nature.com/articles/s41746-025-02071-6","https://www.nature.com/articles/s41746-025-02071-6.pdf","10.1038/s41746-025-02071-6","","Zhou et al.","npj Digital Medicine","2025-11-18","ConfiDx aligns models to diagnostic criteria and explicitly identifies and explains missing-evidence uncertainty; supports criterion-level abstention.","High"
"Large Language Models lack essential metacognition for reliable medical reasoning","https://www.nature.com/articles/s41467-024-55628-6","https://www.nature.com/articles/s41467-024-55628-6.pdf","10.1038/s41467-024-55628-6","","Griot et al.","Nature Communications","2025-01-14","MetaMedQA shows strong medical-answer accuracy does not imply reliable self-assessment; models remain overconfident on unanswerable or malformed questions.","High"
"Large language model agents can use tools to perform clinical calculations","https://www.nature.com/articles/s41746-025-01475-8","https://www.nature.com/articles/s41746-025-01475-8.pdf","10.1038/s41746-025-01475-8","","Goodell et al.","npj Digital Medicine","2025-03-17","Task-specific deterministic clinical calculators sharply reduce calculation errors compared with unaided generation, RAG or generic code execution.","High"
"Evaluating base and retrieval augmented LLMs with document or online support for evidence based neurology","https://www.nature.com/articles/s41746-025-01536-y","https://www.nature.com/articles/s41746-025-01536-y.pdf","10.1038/s41746-025-01536-y","","Masanneck et al.","npj Digital Medicine","2025-03-04","Guideline-grounded document RAG improved correctness and citations, but case-based questions remained harder and harmful answers were not eliminated.","High"
