title,url,pdf_url,doi,arxiv_id,authors,venue,publication_date,impact,confidence
"RAGuard: A Layered Defense Framework for Retrieval-Augmented Generation Systems Against Data Poisoning","https://arxiv.org/abs/2607.26339","https://arxiv.org/pdf/2607.26339.pdf","10.48550/arXiv.2607.26339","2607.26339","Pushkal Kumar; Tucker Nielson; Tanish Kolhe; Shubham Zala; Vincent Li","arXiv / AAAI FrontierIR 2026","2026-07-28","当前系统允许导入外部文本但只有元数据准入；该工作支持增加语料投毒红队、异常检测和高风险片段的反事实影响测试。","Medium"
"PatientAgentBench: A Benchmark Framework for Evaluating Patient-Facing Health AI Agents","https://arxiv.org/abs/2607.25485","https://arxiv.org/pdf/2607.25485.pdf","10.48550/arXiv.2607.25485","2607.25485","Korosh Vatanparvar et al.","arXiv","2026-07-28","1200 个持续对话工具场景显示静态 QA 无法暴露分诊、工具结果核验、危机资源遗漏和虚构动作等故障。","Medium"
"Agentic AI in medicine: architectures, applications, evaluation, and challenges for clinical translation","https://arxiv.org/abs/2607.25489","https://arxiv.org/pdf/2607.25489.pdf","10.48550/arXiv.2607.25489","2607.25489","Zheng Tong et al.","arXiv scoping review","2026-07-28","系统映射 557 项研究，指出真实工作流、过程可靠性、证据追踪、安全、外部有效性和前瞻验证仍不足。","Medium"
"Meaningful oversight of medical AI beyond human in the loop","https://www.nature.com/articles/s41746-026-02971-1","https://www.nature.com/articles/s41746-026-02971-1.pdf","10.1038/s41746-026-02971-1","","Davy van de Sande; Nicoleta Economou-Zavlanos; Michel E. van Genderen","npj Digital Medicine","2026-07-23","人工在环只有在具备知识、时间、决策权和真正可暂停/撤销的技术控制时才是有效安全机制。","High"
"Retrieval-augmented generation in medicine: A scoping review of technical implementations, clinical applications, and ethical considerations","https://pubmed.ncbi.nlm.nih.gov/42476143/","https://arxiv.org/pdf/2511.05901.pdf","10.1016/j.xcrm.2026.102927","2511.05901","Rui Yang et al.","Cell Reports Medicine","2026-07-20","医学 RAG 仍偏英文、公有数据和静态任务，对临床验证、跨语言、低资源、安全与偏差评测投入不足。","High"
"Addressing benchmarking gaps in large language models for health and medicine with dynamic red-teaming","https://www.nature.com/articles/s44360-026-00152-8","https://www.nature.com/articles/s44360-026-00152-8.pdf","10.1038/s44360-026-00152-8","","Jiazhen Pan et al.","Nature Health","2026-07-15","动态红队发现 94% 的原本正确答案在鲁棒性变体下失败，支持把隐私、偏差、幻觉和扰动变成持续门禁。","High"
"DS@GT ARC at LongEval: Citation Integrity and Factual Grounding in Scientific QA","https://arxiv.org/abs/2607.14400","https://arxiv.org/pdf/2607.14400.pdf","10.48550/arXiv.2607.14400","2607.14400","Brandon Michaels; Brendon Johnson","arXiv / CLEF 2026 LongEval","2026-07-15","答案相关性和流畅性可与实际使用证据脱钩；生成前过滤和生成后严格蕴含核验更接近可信 RAG 目标。","Medium"
"Evaluating and Guarding Citation Faithfulness in Agentic Scientific Synthesis","https://arxiv.org/abs/2607.20527","https://arxiv.org/pdf/2607.20527.pdf","10.48550/arXiv.2607.20527","2607.20527","Taewan Goo; Junsik Kim; Kyulhee Han; GwonYul Jo; Jong-Soo Kim; Tae-Hyung Kim","arXiv","2026-07-10","同一输出的不支持引用率可因 verifier 严格度从约 3% 变为约 18%，要求金标准校准、命名协议和置信界。","Medium"
"Uncertainty-Aware Abstention in Large Language Models with Provable Alignment Guarantees","https://arxiv.org/abs/2607.04430","https://arxiv.org/pdf/2607.04430.pdf","10.48550/arXiv.2607.04430","2607.04430","Sijin Dong; Hiroyuki Shinnou","arXiv","2026-07-05","将任意不确定性分数转换为有限样本风险受控的选择性回答规则，适合替代当前无校准的证据状态路由。","Medium"
"Efficiency vs. Verifiability in Evidence-Aware RAG: Does Prompt Compression Preserve Citation Grounding?","https://aclanthology.org/2026.customnlp4u-1.19/","https://aclanthology.org/2026.customnlp4u-1.19.pdf","10.18653/v1/2026.customnlp4u-1.19","","Aiyu Li; Qian Peng; Bin Chen","ACL CustomNLP4U 2026","2026-07-03","上下文压缩可能保住答案质量却损坏引用 grounding，成本优化必须同时守住证据指标。","High"
"HealthAgentBench: A Unified Benchmark Suite of Realistic Agentic Healthcare Environments for Challenging Frontier AI Agents","https://arxiv.org/abs/2606.31179","https://arxiv.org/pdf/2606.31179.pdf","10.48550/arXiv.2606.31179","2606.31179","Qianchu Liu et al.","arXiv","2026-06-30","54 个端到端医疗环境任务中最强系统成功率仍约 42%，支持环境级、执行级而非只看文本答案的评测。","Medium"
"SEMA-RAG: A Self-Evolving Multi-Agent Retrieval-Augmented Generation Framework for Medical Reasoning","https://aclanthology.org/2026.findings-acl.917/","https://aclanthology.org/2026.findings-acl.917.pdf","10.18653/v1/2026.findings-acl.917","","Yongfeng Huang; Ruiying Chen; James Cheng","Findings of ACL 2026","2026-07","将临床语义解释、充分性驱动检索和证据裁决解耦，在五个 benchmark 和五个模型上平均提升 6.46 个准确率点。","High"
"AgenticRAGTracer: A Hop-Aware Benchmark for Diagnosing Multi-Step Retrieval Reasoning in Agentic RAG","https://aclanthology.org/2026.findings-acl.66/","https://aclanthology.org/2026.findings-acl.66.pdf","10.18653/v1/2026.findings-acl.66","","Qijie You; Wenkai Yu; Hao Liang; Zhen Hao Wong; Wentao Zhang","Findings of ACL 2026","2026-07","逐跳诊断揭示过早收敛和过度延展；当前项目只有最终任务状态，缺少查询/证据/推理 hop 的正确性标注。","High"
"Agentic-R: Learning to Retrieve for Agentic Search","https://aclanthology.org/2026.findings-acl.785/","https://aclanthology.org/2026.findings-acl.785.pdf","10.18653/v1/2026.findings-acl.785","","Wenhan Liu et al.","Findings of ACL 2026","2026-07","多轮检索器应同时优化局部相关性和最终答案正确性，而非只优化相似度；直接对应当前检索与答案脱钩。","High"
"LLM-Generated Text May Harm Your Retrieval! A Robust Detection Strategy for Retrieval-Augmented Generation","https://aclanthology.org/2026.acl-long.1475/","https://aclanthology.org/2026.acl-long.1475.pdf","10.18653/v1/2026.acl-long.1475","","Zhaoheng Huang; Yutao Zhu; Ji-Rong Wen; Zhicheng Dou","ACL 2026","2026-07","模型生成文本污染外部语料会降低长期检索质量，来源治理需要内容来源标记和污染检测。","High"
"RIPRAG: Hack a Black-box Retrieval-Augmented Generation Question-Answering System with Reinforcement Learning","https://aclanthology.org/2026.findings-acl.833/","https://aclanthology.org/2026.findings-acl.833.pdf","10.18653/v1/2026.findings-acl.833","","Meng Xi et al.","Findings of ACL 2026","2026-07","黑盒反馈即可优化投毒文档并显著提高攻击成功率，说明只做来源元数据治理不足以覆盖导入知识风险。","High"
"PhysicianBench: Evaluating LLM Agents in Real-World EHR Environments","https://arxiv.org/abs/2605.02240","https://arxiv.org/pdf/2605.02240.pdf","10.48550/arXiv.2605.02240","2605.02240","Ruoqi Liu et al.","arXiv","2026-05-04","100 个真实咨询改编的长程 EHR 任务平均需 27 次工具调用，最强模型 pass@1 仅 46%，强调执行检查点和结果状态验证。","Medium"
"Reinforcement Learning for Tool-Calling Agents in Fast Healthcare Interoperability Resources (FHIR)","https://arxiv.org/abs/2605.14126","https://arxiv.org/pdf/2605.14126.pdf","10.48550/arXiv.2605.14126","2605.14126","Marius S. Knorr; Robert Mueller; Jan P. Bremer; Nils Schweingruber","arXiv","2026-05-13","FHIR 图上的执行约束和奖励训练将正确率从 50% 提至 77%，支持增加结构化 EHR 端口和确定性工具状态校验。","Medium"
"MedMCP-Calc: Benchmarking LLMs for Realistic Medical Calculator Scenarios via MCP Integration","https://arxiv.org/abs/2601.23049","https://arxiv.org/pdf/2601.23049.pdf","10.48550/arXiv.2601.23049","2601.23049","Yakun Zhu; Yutong Huang; Shengqian Qin; Zhongzhen Huang; Shaoting Zhang; Xiaofan Zhang","arXiv","2026-01-30","118 个真实计算场景显示模型在计算器选择、EHR 取数和 SQL 迭代上仍弱，临床数值任务需要代码工具而非文本推理。","Medium"
"LabSage: Structural-Semantic Decoupling for Enhanced Retrieval-Augmented Generation in Clinical Laboratories","https://pubmed.ncbi.nlm.nih.gov/42317863/","","","","Hang Zhang; Yuelyu Ji; Chenyu Li; Hooman Rashidi; Sarah Wheeler; Yanshan Wang","AMIA Joint Summits 2026","2026-06-01","检索小单元、推理扩展上下文的分层架构比固定切块提高答案准确率 8.3%、上下文召回 5.7%。","High"
